soil_OID,meteo_id,rot_id,orgN_kreise,profile_0_SOC,thickness_0,Nlayers_0,profile_1_SOC,thickness_1,Nlayers_1,profile_2_SOC,thickness_2,Nlayers_2,profile_3_SOC,thickness_3,Nlayers_3,profile_4_SOC,thickness_4,Nlayers_4
12,"(77, 373)",6130,191.0,1.38,0.3,3,0.798,0.2,2,0.186,0.5,5,0.10200000000000001,1.1,11
5,"(76, 374)",5110,117.0,1.38,0.3,3,0.03,0.3,3
15,"(77, 374)",6120,96.0,1.044,0.3,3,0.11399999999999999,1.2,12,0.054,0.5,5
10,"(77, 374)",6130,155.0,1.428,0.3,3,0.024,0.6000000000000001,6,0.024,1.1,11
10,"(78, 376)",4110,88.0,1.428,0.3,3,1.38,0.2,2,0.024,1.5,15
26,"(77, 373)",6130,86.0,1.74,0.3,3,0.522,0.39999999999999997,4,0.522,1.0,10
23,"(78, 374)",2120,102.0,1.26,0.3,3,0.11399999999999999,1.2,12,0.054,0.6000000000000001,6
7,"(78, 377)",3120,65.0,1.56,0.3,3,0.10200000000000001,1.7,17
28,"(77, 374)",5130,81.0,1.296,0.3,3,0.45599999999999996,0.3,3,0.276,1.5,15
28,"(78, 377)",3110,65.0,1.296,0.3,3,0.276,0.6000000000000001,6,0.276,1.1,11
8,"(76, 373)",6120,116.0,1.11,0.3,3,0.276,1.0,10
5,"(77, 376)",5110,107.0,1.38,0.2,2,0.03,0.39999999999999997,4
10,"(77, 376)",6130,107.0,1.428,0.3,3,0.324,0.39999999999999997,4,0.024,0.8,8,0.024,0.5,5
15,"(76, 374)",5110,117.0,1.044,0.3,3,0.39,0.3,3,0.11399999999999999,0.5000000000000001,5,0.054,1.0,10
23,"(76, 374)",5120,50.0,1.26,0.3,3,0.39,0.5,5,0.054,1.2,12
20,"(75, 373)",6120,91.0,1.212,0.3,3,0.192,1.2,12
6,"(78, 377)",2110,116.0,1.428,0.3,3,1.38,0.2,2,0.024,1.5,15
5,"(76, 375)",7110,101.0,1.38,0.3,3,0.6,0.2,2,0.186,0.5,5,0.03,1.0,10
15,"(75, 374)",6130,76.0,1.044,0.3,3,0.11399999999999999,1.2,12,0.054,0.5,5
24,"(78, 377)",1130,101.0,1.26,0.3,3,1.38,0.2,2,0.024,0.8,8,0.024,0.8,8
7,"(75, 374)",6120,49.0,1.56,0.3,3,0.186,1.0,10,0.10200000000000001,0.7,7
28,"(77, 375)",7130,106.0,1.296,0.3,3,0.276,0.7,7,0.276,0.5,5,0.276,0.5,5
5,"(75, 374)",5130,76.0,1.38,0.3,3,0.672,0.3,3,0.03,1.5,15
7,"(75, 371)",8110,99.0,1.56,0.3,3,0.186,1.0999999999999999,11,0.10200000000000001,0.6000000000000001,6
17,"(77, 373)",6110,103.0,1.572,0.3,3,0.672,0.3,3,0.03,1.5,15
63,"(77, 376)",2120,116.0,2.346,0.3,3,0.672,0.39999999999999997,4,0.186,0.40000000000000013,4,0.03,1.0,10
7,"(76, 373)",6110,62.0,1.56,0.3,3,0.186,0.8,8,0.10200000000000001,0.8999999999999999,9
15,"(76, 372)",8120,99.0,1.044,0.3,3,0.11399999999999999,1.0,10,0.054,0.8,8
11,"(77, 372)",6110,193.0,1.14,0.2,2,0.3,0.6000000000000001,6,0.162,1.3,13
15,"(78, 376)",4110,116.0,1.044,0.3,3,0.9839999999999999,0.2,2,0.11399999999999999,1.0,10,0.054,0.5,5
19,"(78, 376)",1130,101.0,1.14,0.3,3,0.3,0.3,3,0.162,1.4,14
15,"(76, 372)",6120,132.0,1.044,0.3,3,0.9839999999999999,0.2,2,0.11399999999999999,1.0,10
5,"(76, 377)",7130,67.0,1.38,0.3,3,0.6,0.2,2,0.186,0.5,5,0.03,1.1,11
23,"(77, 374)",6120,96.0,1.26,0.3,3,0.054,1.4,14,0.054,0.40000000000000013,4
20,"(77, 375)",7120,106.0,1.212,0.3,3,0.192,1.0,10,0.162,0.8,8
17,"(76, 373)",5130,50.0,1.572,0.3,3,0.186,1.0,10,0.186,0.30000000000000004,3
21,"(77, 376)",6110,116.0,1.308,0.3,3,0.186,0.7,7,0.186,0.5,5,0.03,0.6000000000000001,6
24,"(79, 377)",1110,101.0,1.26,0.3,3,1.38,0.2,2,0.024,0.8999999999999999,9,0.024,0.6000000000000001,6
58,"(77, 374)",6130,155.0,1.02,0.3,3,0.21,0.6000000000000001,6,0.216,1.1,11
51,"(77, 374)",2130,191.0,0.864,0.3,3,0.828,0.10000000000000003,1,0.192,0.9999999999999999,10,0.162,0.6000000000000001,6
10,"(79, 377)",1110,129.0,1.428,0.3,3,0.324,0.3,3,0.024,1.2000000000000002,12,0.024,0.19999999999999996,2
20,"(78, 376)",2110,129.0,1.212,0.2,2,0.3,0.49999999999999994,5,0.162,1.4000000000000001,14
8,"(78, 372)",6130,132.0,1.11,0.3,3,0.276,0.6000000000000001,6,0.276,0.9,9,0.276,0.40000000000000013,4
15,"(75, 373)",9130,91.0,1.044,0.3,3,0.11399999999999999,0.7,7,0.054,1.0,10
63,"(77, 372)",6130,140.0,2.346,0.3,3,0.6,0.2,2,0.186,0.5,5,0.03,1.0,10
15,"(76, 374)",5120,80.0,1.044,0.3,3,0.11399999999999999,1.2,12,0.054,0.5,5
10,"(77, 374)",6110,121.0,1.428,0.3,3,0.024,0.6000000000000001,6,0.024,1.1,11
8,"(77, 374)",6130,155.0,1.11,0.3,3,0.45599999999999996,0.39999999999999997,4,0.276,1.3,13
10,"(78, 375)",2120,102.0,1.428,0.3,3,0.324,0.3,3,0.024,1.4,14
11,"(78, 374)",2110,102.0,1.14,0.3,3,0.192,1.3,13,0.162,0.3999999999999999,4
5,"(78, 375)",4120,135.0,1.38,0.3,3,0.6,0.2,2,0.03,1.6,16
65,"(77, 372)",6130,193.0,1.794,0.3,3,0.9839999999999999,0.2,2,0.11399999999999999,1.1,11,0.054,0.5,5
21,"(75, 372)",8130,70.0,1.308,0.3,3,0.6,0.2,2,0.03,1.5,15
51,"(78, 374)",2130,155.0,0.864,0.3,3,0.3,0.39999999999999997,4,0.162,1.3,13
126,"(77, 375)",6110,107.0,1.5899999999999999,0.3,3,0.11399999999999999,1.3,13,0.054,0.3999999999999999,4
27,"(77, 374)",2120,121.0,1.188,0.3,3,0.11399999999999999,1.7,17
5,"(76, 372)",8110,70.0,1.38,0.3,3,0.672,0.5,5,0.03,1.2,12
7,"(77, 375)",6120,96.0,1.56,0.3,3,0.186,1.2,12,0.10200000000000001,0.5,5
23,"(77, 374)",2130,121.0,1.26,0.3,3,0.39,0.3,3,0.11399999999999999,0.9,9,0.054,0.5,5
28,"(76, 376)",7130,102.0,1.296,0.3,3,0.276,1.0,10,0.276,0.8,8
5,"(78, 375)",2130,135.0,1.38,0.3,3,0.6,0.2,2,0.03,1.6,16
11,"(77, 374)",6120,121.0,1.14,0.3,3,0.192,1.0,10,0.162,0.5999999999999999,6
11,"(78, 375)",6110,155.0,1.14,0.3,3,0.186,1.3,13,0.10200000000000001,0.3999999999999999,4
5,"(75, 373)",6130,49.0,1.38,0.3,3,0.186,1.0,10,0.03,0.8,8
22,"(78, 376)",6120,129.0,1.152,0.3,3,0.39,0.3,3,0.186,0.30000000000000004,3,0.10200000000000001,1.2000000000000002,12
22,"(76, 372)",8120,70.0,1.152,0.3,3,0.186,0.8,8,0.186,0.5,5
20,"(77, 374)",6120,155.0,1.212,0.3,3,0.3,0.39999999999999997,4,0.192,0.6000000000000001,6,0.162,0.8,8
5,"(76, 374)",5130,92.0,1.38,0.3,3,0.672,0.39999999999999997,4,0.03,1.3,13
16,"(78, 374)",6110,155.0,1.14,0.3,3,0.6,0.2,2,0.024,1.0,10,0.024,0.5,5
14,"(77, 377)",5110,111.0,1.08,0.3,3,0.33,0.39999999999999997,4,0.21,0.6000000000000001,6,0.21,0.30000000000000004,3,0.216,0.6999999999999997,7
19,"(77, 375)",2120,155.0,1.14,0.3,3,0.828,0.2,2,0.192,1.1,11,0.162,0.3999999999999999,4
21,"(76, 374)",6120,116.0,1.308,0.3,3,0.672,0.39999999999999997,4,0.186,0.7,7,0.03,0.6000000000000001,6
7,"(78, 377)",2130,116.0,1.56,0.3,3,0.39,0.39999999999999997,4,0.10200000000000001,1.4000000000000001,14
5,"(76, 372)",6110,132.0,1.38,0.3,3,0.672,0.5,5,0.186,0.19999999999999996,2,0.03,1.0,10
7,"(78, 377)",3130,65.0,1.56,0.3,3,0.10200000000000001,1.7,17
28,"(77, 377)",7110,102.0,1.296,0.3,3,0.276,0.7,7,0.276,1.0,10
20,"(76, 373)",6130,50.0,1.212,0.3,3,0.192,1.0,10,0.162,0.8,8
20,"(77, 374)",6110,51.0,1.212,0.3,3,0.192,1.2,12,0.162,0.7000000000000002,7
18,"(78, 374)",6110,191.0,1.44,0.3,3,0.10200000000000001,1.7,17
5,"(76, 373)",5130,52.0,1.38,0.3,3,0.672,0.5,5,0.03,1.2,12
20,"(76, 372)",6110,132.0,1.212,0.3,3,0.192,0.7,7,0.162,1.1,11
23,"(77, 378)",4110,90.0,1.26,0.3,3,0.39,0.3,3,0.11399999999999999,0.5000000000000001,5,0.054,0.7999999999999998,8
20,"(77, 373)",6110,137.0,1.212,0.3,3,0.3,0.39999999999999997,4,0.162,1.1,11,0.162,0.30000000000000004,3
14,"(76, 372)",8120,137.0,1.08,0.3,3,0.21,0.8999999999999999,9,0.216,0.9000000000000001,9
20,"(76, 373)",5130,50.0,1.212,0.3,3,0.3,0.39999999999999997,4,0.192,0.6000000000000001,6,0.162,0.8,8
5,"(76, 374)",7110,81.0,1.38,0.3,3,0.6,0.2,2,0.186,0.5,5,0.03,1.0,10
53,"(78, 375)",6130,102.0,4.62,0.3,3,0.186,0.7,7,0.03,1.1,11
5,"(77, 375)",6130,129.0,1.38,0.3,3,0.6,0.2,2,0.03,0.09999999999999998,1
17,"(77, 373)",6120,137.0,1.572,0.3,3,0.672,0.3,3,0.03,1.1,11,0.03,0.40000000000000013,4
5,"(76, 374)",5130,116.0,1.38,0.3,3,0.03,0.3,3
10,"(77, 377)",2120,111.0,1.428,0.3,3,0.324,0.39999999999999997,4,0.024,1.2,12,0.024,0.20000000000000018,2
20,"(77, 374)",2120,155.0,1.212,0.3,3,0.192,1.0,10,0.162,0.8,8
20,"(76, 372)",8120,137.0,1.212,0.3,3,0.192,0.6000000000000001,6,0.162,1.1,11
18,"(77, 376)",6110,116.0,1.44,0.3,3,0.39,0.3,3,0.10200000000000001,1.4,14
12,"(77, 377)",5110,111.0,1.38,0.2,2,0.798,0.2,2,0.10200000000000001,1.7000000000000002,17
17,"(77, 373)",6110,47.0,1.572,0.3,3,0.672,0.3,3,0.03,1.5,15
11,"(77, 375)",6120,129.0,1.14,0.3,3,0.192,0.7,7,0.192,0.5,5,0.162,0.6000000000000001,6
16,"(78, 376)",6130,116.0,1.14,0.3,3,0.6,0.2,2,0.024,1.5,15
28,"(77, 376)",6110,107.0,1.296,0.2,2,0.45599999999999996,0.49999999999999994,5,0.276,0.5,5,0.276,0.9000000000000001,9
20,"(78, 375)",6130,102.0,1.212,0.3,3,0.3,0.39999999999999997,4,0.162,1.3,13
7,"(77, 376)",6110,116.0,1.56,0.3,3,0.39,0.39999999999999997,4,0.10200000000000001,1.4000000000000001,14
63,"(77, 376)",6120,107.0,2.346,0.3,3,0.6,0.2,2,0.186,0.7,7,0.03,0.9000000000000001,9
22,"(77, 376)",6110,107.0,1.152,0.3,3,0.186,1.3,13
5,"(76, 374)",6120,49.0,1.38,0.3,3,0.186,1.0,10,0.03,0.7,7
28,"(76, 375)",7130,74.0,1.296,0.3,3,0.276,1.0,10,0.276,0.7,7
3,"(78, 376)",2110,129.0,1.47,0.3,3,0.186,0.6000000000000001,6,0.10200000000000001,1.1,11
5,"(76, 377)",7110,107.0,1.38,0.3,3,0.6,0.2,2,0.186,0.5,5,0.03,1.0,10
20,"(78, 377)",3130,101.0,1.212,0.3,3,0.3,0.5,5,0.162,1.0999999999999999,11
8,"(76, 374)",6130,58.0,1.11,0.3,3,0.276,1.0,10
23,"(78, 377)",3120,65.0,1.26,0.3,3,0.11399999999999999,1.0999999999999999,11,0.054,0.6000000000000001,6
15,"(76, 372)",8110,42.0,1.044,0.3,3,0.39,0.39999999999999997,4,0.054,1.2,12
16,"(77, 377)",2130,111.0,1.14,0.3,3,0.6,0.2,2,0.024,1.5,15
50,"(78, 377)",4120,88.0,0.96,0.3,3,0.6,0.10000000000000003,1,0.006,0.19999999999999996,2
5,"(77, 377)",5130,90.0,1.38,0.2,2,0.672,0.39999999999999997,4,0.03,1.5,15
7,"(78, 373)",2120,107.0,1.56,0.3,3,0.39,0.39999999999999997,4,0.10200000000000001,1.4000000000000001,14
12,"(76, 373)",6110,132.0,1.38,0.3,3,0.186,0.7,7,0.10200000000000001,1.0,10
20,"(78, 375)",6120,135.0,1.212,0.3,3,0.828,0.2,2,0.192,0.7,7,0.162,0.9000000000000001,9
15,"(77, 377)",6130,107.0,1.044,0.3,3,0.054,1.5,15,0.054,0.30000000000000004,3
51,"(78, 375)",6110,129.0,0.864,0.3,3,0.3,0.39999999999999997,4,0.192,0.9000000000000001,9,0.162,0.5,5
92,"(78, 378)",5110,65.0,1.3499999999999999,0.3,3,0.162,1.5,15,0.162,0.19999999999999996,2
17,"(77, 374)",2120,191.0,1.572,0.3,3,0.672,0.3,3,0.186,0.30000000000000004,3,0.03,0.9,9,0.03,0.4999999999999998,5
